,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,15,15,15,15,15,15,15,15,15,15,25,25,25,25,25,25,25,25,25,25,35,35,35,35,35,35,35,35,35,35,45,45,45,45,45,45,45,45,45,45,55,55,55,55,55,55,55,55,55,55,65,65,65,65,65,65,65,65,65,65,75,75,75,75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,85,85,95,95,95,95,95,95,95,95,95,95,105,105,105,105,105,105,105,105,105,105,115,115,115,115,115,115,115,115,115,115,125,125,125,125,125,125,125,125,125,125,135,135,135,135,135,135,135,135,135,135,145,145,145,145,145,145,145,145,145,145,155,155,155,155,155,155,155,155,155,155,165,165,165,165,165,165,165,165,165,165,175,175,175,175,175,175,175,175,175,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,0 to 10,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,10 to 20,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,20 to 30,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,30 to 40,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,40 to 50,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,50 to 60,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,60 to 70,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,70 to 80,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,80 to 90,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,90 to 100,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,100 to 110,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,110 to 120,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,120 to 130,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,130 to 140,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,140 to 150,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,150 to 160,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,160 to 170,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180,170 to 180
,,,,,,,,,,,,,,,,,,,,,,,,,,,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus,Child,Woman,Man,Bicycle,Motorcycle,Car,Pickup Truck,Van,Truck,Bus
dia,dia_semana,hora,peatones,avg_vel_peatones,child,avg_vel_child,woman,avg_vel_woman,man,avg_vel_man,bicycle,avg_vel_bicycle,motorcycle,avg_vel_motorcycle,autos,avg_vel_autos,car,avg_vel_car,pickup truck,avg_vel_pickup truck,van,avg_vel_van,truck,avg_vel_truck,bus,avg_vel_bus,0_10_child,0_10_woman,0_10_man,0_10_bicycle,0_10_motorcycle,0_10_car,0_10_pickup,0_10_van,0_10_truck,0_10_bus,10_20_child,10_20_woman,10_20_man,10_20_bicycle,10_20_motorcycle,10_20_car,10_20_pickup,10_20_van,10_20_truck,10_20_bus,20_30_child,20_30_woman,20_30_man,20_30_bicycle,20_30_motorcycle,20_30_car,20_30_pickup,20_30_van,20_30_truck,20_30_bus,30_40_child,30_40_woman,30_40_man,30_40_bicycle,30_40_motorcycle,30_40_car,30_40_pickup,30_40_van,30_40_truck,30_40_bus,40_50_child,40_50_woman,40_50_man,40_50_bicycle,40_50_motorcycle,40_50_car,40_50_pickup,40_50_van,40_50_truck,40_50_bus,50_60_child,50_60_woman,50_60_man,50_60_bicycle,50_60_motorcycle,50_60_car,50_60_pickup,50_60_van,50_60_truck,50_60_bus,60_70_child,60_70_woman,60_70_man,60_70_bicycle,60_70_motorcycle,60_70_car,60_70_pickup,60_70_van,60_70_truck,60_70_bus,70_80_child,70_80_woman,70_80_man,70_80_bicycle,70_80_motorcycle,70_80_car,70_80_pickup,70_80_van,70_80_truck,70_80_bus,80_90_child,80_90_woman,80_90_man,80_90_bicycle,80_90_motorcycle,80_90_car,80_90_pickup,80_90_van,80_90_truck,80_90_bus,90_100_child,90_100_woman,90_100_man,90_100_bicycle,90_100_motorcycle,90_100_car,90_100_pickup,90_100_van,90_100_truck,90_100_bus,100_110_child,100_110_woman,100_110_man,100_110_bicycle,100_110_motorcycle,100_110_car,100_110_pickup,100_110_van,100_110_truck,100_110_bus,110_120_child,110_120_woman,110_120_man,110_120_bicycle,110_120_motorcycle,110_120_car,110_120_pickup,110_120_van,110_120_truck,110_120_bus,120_130_child,120_130_woman,120_130_man,120_130_bicycle,120_130_motorcycle,120_130_car,120_130_pickup,120_130_van,120_130_truck,120_130_bus,130_140_child,130_140_woman,130_140_man,130_140_bicycle,130_140_motorcycle,130_140_car,130_140_pickup,130_140_van,130_140_truck,130_140_bus,140_150_child,140_150_woman,140_150_man,140_150_bicycle,140_150_motorcycle,140_150_car,140_150_pickup,140_150_van,140_150_truck,140_150_bus,150_160_child,150_160_woman,150_160_man,150_160_bicycle,150_160_motorcycle,150_160_car,150_160_pickup,150_160_van,150_160_truck,150_160_bus,160_170_child,160_170_woman,160_170_man,160_170_bicycle,160_170_motorcycle,160_170_car,160_170_pickup,160_170_van,160_170_truck,160_170_bus,170_180_child,170_180_woman,170_180_man,170_180_bicycle,170_180_motorcycle,170_180_car,170_180_pickup,170_180_van,170_180_truck,170_180_bus
18/06/2021,Friday,5,24,6,0,0,2,5,22,14,6,38,4,40,98,30,88,50,6,42,0,0,4,60,22,47,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,4,0,8,2,0,0,8,0,0,4,2,0,8,4,0,2,2,0,0,0,0,2,26,0,0,0,11,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,Friday,6,85,6,0,0,14,6,71,12,36,31,16,49,393,46,336,65,37,61,6,52,14,51,39,46,0,12,49,0,0,2,0,0,0,0,0,2,2,7,0,9,1,0,0,3,0,0,12,7,0,15,0,0,2,2,0,0,8,16,6,16,2,2,2,4,0,0,0,6,2,19,6,0,2,10,0,0,0,0,6,54,2,2,4,18,0,0,0,0,0,78,16,2,2,2,0,0,0,0,2,72,8,0,2,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,Friday,7,339,7,4,8,35,6,300,8,99,31,11,54,999,49,855,70,105,67,12,58,27,51,73,54,3,30,230,9,0,6,0,1,2,0,1,5,66,0,0,13,1,0,3,2,0,0,3,24,0,19,6,0,0,6,0,0,1,59,0,15,2,0,0,2,0,0,0,6,3,38,4,2,3,10,0,0,0,0,6,92,11,3,8,23,0,0,0,1,2,195,30,2,9,25,0,0,0,0,0,235,33,3,2,5,0,0,0,0,0,158,15,1,0,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,Friday,8,169,7,1,5,50,7,118,8,56,32,58,64,3004,51,2601,70,287,66,48,66,68,55,106,54,1,40,82,2,0,1,0,0,0,0,0,10,33,4,0,20,1,1,4,2,0,0,3,19,0,52,11,0,3,2,0,0,0,17,1,28,10,1,10,8,0,0,0,11,10,120,17,6,9,23,0,0,0,3,12,306,45,1,10,39,0,0,0,0,13,699,90,22,15,24,0,0,0,0,18,785,57,11,11,8,0,0,0,0,1,424,43,4,5,0,0,0,0,0,3,125,13,2,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,Friday,9,71,5,0,0,10,8,61,6,42,34,84,51,4187,52,3620,71,378,65,84,66,105,57,90,55,0,7,55,1,0,0,1,0,0,0,0,3,3,0,6,20,6,0,4,2,0,0,3,16,0,68,12,0,0,9,0,0,0,13,0,19,3,3,3,1,0,0,0,8,19,96,23,6,18,10,0,0,0,4,46,379,69,12,30,28,0,0,0,0,13,960,114,31,41,34,0,0,0,0,0,1174,105,23,6,6,0,0,0,0,0,656,32,9,3,0,0,0,0,0,0,196,13,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,Friday,10,58,8,0,0,23,11,35,13,6,53,74,51,3760,51,3167,73,384,64,81,69,128,51,81,57,0,15,16,0,5,10,3,2,6,0,0,6,15,0,0,1,6,0,6,3,0,0,1,0,0,66,10,3,10,0,0,0,0,0,3,10,10,1,3,3,0,2,3,1,21,100,14,3,20,1,0,0,0,5,26,304,99,11,54,44,0,0,0,0,13,670,99,16,5,21,0,0,0,0,6,1028,90,23,18,9,0,0,0,0,0,653,41,16,6,0,0,0,0,0,0,224,12,3,0,0,0,0,0,0,0,79,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
