interseccion,año,mes,dia,dia_semana,hora,hechos_viales
13 DE SEP. CON 13 DE SEP.,2018,12,3,Lunes,17,1
16 DE SEP. CON 16 DE SEP.,2015,2,19,Jueves,7,1
16 DE SEP. CON 16 DE SEP.,2017,11,30,Jueves,0,1
16 DE SEP. CON 16 DE SEP.,2018,4,26,Jueves,6,1
16 DE SEP. CON 16 DE SEP.,2020,8,5,Miércoles,8,1
16 DE SEP. CON ABASOLO,2017,6,8,Jueves,11,1
16 DE SEP. CON ALLENDE,2015,7,4,Sábado,16,1
16 DE SEP. CON BOSQUES DE CHAPULTEPEC,2015,6,12,Viernes,7,1
16 DE SEP. CON DE LA MESETA,2015,7,27,Lunes,14,1
16 DE SEP. CON DEGOLLADO,2016,3,31,Jueves,14,1
16 DE SEP. CON DEGOLLADO,2017,12,24,Domingo,7,1
16 DE SEP. CON DIEGO DE MONTEMAYOR,2017,9,14,Jueves,7,1
16 DE SEP. CON GUERRERO,2016,9,1,Jueves,15,1
16 DE SEP. CON GUERRERO,2016,9,12,Lunes,18,1
16 DE SEP. CON GUERRERO,2017,11,20,Lunes,17,1
16 DE SEP. CON GUERRERO,2019,1,30,Miércoles,19,1
16 DE SEP. CON J. M. MONTEMAYOR,2016,1,2,Sábado,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2016,3,28,Lunes,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2018,10,30,Martes,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2020,8,19,Miércoles,12,1
16 DE SEP. CON JUAN I. RAMON,2018,12,7,Viernes,20,1
16 DE SEP. CON LOS ALDAMA,2015,3,4,Miércoles,12,1
16 DE SEP. CON LOS ALDAMA,2015,12,26,Sábado,12,1
16 DE SEP. CON LOS ALDAMA,2017,9,1,Viernes,9,1
16 DE SEP. CON LOS ALDAMA,2017,9,2,Sábado,7,1
16 DE SEP. CON MANUEL DOBLADO,2015,4,21,Martes,10,1
16 DE SEP. CON MANUEL DOBLADO,2016,9,9,Viernes,2,1
16 DE SEP. CON NEIL ARMSTRONG,2016,6,24,Viernes,19,1
16 DE SEP. CON NEIL ARMSTRONG,2020,11,20,Viernes,17,1
16 DE SEP. CON ORIENTE,2019,12,13,Viernes,11,1
16 DE SEP. CON PONIENTE,2015,11,1,Domingo,18,1
16 DE SEP. CON PRIV. J. M. MONTEMAYOR,2015,11,12,Jueves,11,1
16 DE SEP. CON PRIV. J. M. MONTEMAYOR,2018,6,16,Sábado,16,1
16 DE SEP. CON PRIV. PONIENTE,2019,11,30,Sábado,14,1
16 DE SEP. CON TREVIÑO,2015,7,3,Viernes,8,1
16 DE SEP. CON TREVIÑO,2016,11,9,Miércoles,15,1
16 DE SEP. CON TREVIÑO,2019,9,27,Viernes,20,1
2 DE ABRIL CON 2 DE ABRIL,2015,8,6,Jueves,19,1
2 DE ABRIL CON 2 DE ABRIL,2016,6,10,Viernes,8,1
2 DE ABRIL CON 2 DE ABRIL,2016,11,17,Jueves,16,1
2 DE ABRIL CON 2 DE ABRIL,2016,11,18,Viernes,23,1
2 DE ABRIL CON ABASOLO,2020,8,19,Miércoles,12,1
2 DE ABRIL CON ALLENDE,2017,7,22,Sábado,13,1
2 DE ABRIL CON ALLENDE,2019,8,27,Martes,21,1
2 DE ABRIL CON ALLENDE,2020,12,13,Domingo,10,1
2 DE ABRIL CON DEGOLLADO,2015,8,31,Lunes,15,1
2 DE ABRIL CON DEGOLLADO,2019,10,17,Jueves,16,1
2 DE ABRIL CON DIEGO DE ALMAGRO,2015,11,21,Sábado,20,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2015,8,19,Miércoles,16,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2015,8,30,Domingo,18,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,4,4,Lunes,21,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,4,6,Miércoles,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,10,21,Viernes,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2017,10,3,Martes,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2018,9,27,Jueves,15,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2020,10,21,Miércoles,18,1
2 DE ABRIL CON DOBLADO,2018,11,1,Jueves,17,1
2 DE ABRIL CON GUERRERO,2015,3,26,Jueves,17,1
2 DE ABRIL CON GUERRERO,2015,8,26,Miércoles,19,1
2 DE ABRIL CON GUERRERO,2017,6,13,Martes,19,1
2 DE ABRIL CON JUAN I. RAMON,2015,2,19,Jueves,11,1
2 DE ABRIL CON JUAN I. RAMON,2015,4,1,Miércoles,18,1
2 DE ABRIL CON JUAN I. RAMON,2015,10,9,Viernes,11,1
2 DE ABRIL CON JUAN I. RAMON,2016,3,29,Martes,15,1
2 DE ABRIL CON JUAN I. RAMON,2016,10,15,Sábado,10,1
2 DE ABRIL CON JUAN I. RAMON,2016,11,19,Sábado,3,1
2 DE ABRIL CON JUAN I. RAMON,2018,1,25,Jueves,14,1
2 DE ABRIL CON LOS ALDAMA,2015,5,8,Viernes,17,1
2 DE ABRIL CON LOS ALDAMA,2017,3,18,Sábado,13,1
2 DE ABRIL CON LOS ALDAMA,2018,5,13,Domingo,19,1
2 DE ABRIL CON LOS RAYONES,2016,11,2,Miércoles,13,1
2 DE ABRIL CON MANUEL DOBLADO,2015,6,10,Miércoles,3,1
2 DE ABRIL CON MANUEL DOBLADO,2016,10,21,Viernes,3,1
2 DE ABRIL CON MANUEL DOBLADO,2017,2,25,Sábado,2,1
2 DE ABRIL CON MANUEL DOBLADO,2017,10,10,Martes,18,1
2 DE ABRIL CON MANUEL DOBLADO,2018,6,30,Sábado,2,1
2 DE ABRIL CON MANUEL DOBLADO,2018,11,6,Martes,3,1
2 DE ABRIL CON MANUEL GONZALEZ,2016,3,17,Jueves,11,1
2 DE ABRIL CON NEIL ARMSTRONG,2015,5,12,Martes,12,1
2 DE ABRIL CON NEIL ARMSTRONG,2015,7,6,Lunes,17,1
2 DE ABRIL CON NEIL ARMSTRONG,2016,8,19,Viernes,13,1
2 DE ABRIL CON PRIVADA 2,2017,6,24,Sábado,6,1
2 DE ABRIL CON TREVIÑO,2015,7,8,Miércoles,1,1
2 DE ABRIL CON TREVIÑO,2015,7,8,Miércoles,11,1
2 DE ABRIL CON TREVIÑO,2016,4,8,Viernes,19,1
2 DE ABRIL CON TREVIÑO,2016,8,29,Lunes,9,1
2 DE ABRIL CON TREVIÑO,2018,4,13,Viernes,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2015,3,14,Sábado,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2015,10,24,Sábado,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,2,12,Viernes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,2,22,Lunes,12,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,5,18,Miércoles,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,7,6,Miércoles,19,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,9,22,Jueves,2,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,2,23,Jueves,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,3,10,Viernes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,6,24,Sábado,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2019,8,19,Lunes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2020,2,14,Viernes,12,1
20 DE NOVIEMBRE CON 16 DE SEP.,2020,2,26,Miércoles,5,1
20 DE NOVIEMBRE CON 20 DE NOVIEMBRE,2018,3,5,Lunes,14,1
20 DE NOVIEMBRE CON 25 DE MAYO,2017,12,13,Miércoles,14,1
20 DE NOVIEMBRE CON 5 DE MAYO,2017,6,17,Sábado,14,1
20 DE NOVIEMBRE CON GALEANA,2015,3,19,Jueves,17,1
20 DE NOVIEMBRE CON GALEANA,2016,11,28,Lunes,8,1
20 DE NOVIEMBRE CON GALEANA,2017,4,28,Viernes,17,1
20 DE NOVIEMBRE CON GALEANA,2017,12,18,Lunes,2,1
20 DE NOVIEMBRE CON GALEANA,2018,2,21,Miércoles,20,1
20 DE NOVIEMBRE CON GALEANA,2020,11,13,Viernes,9,1
20 DE NOVIEMBRE CON MANGANESO,2016,10,22,Sábado,14,1
20 DE NOVIEMBRE CON MERCURIO,2015,9,10,Jueves,15,1
20 DE NOVIEMBRE CON MERCURIO,2015,11,23,Lunes,16,1
20 DE NOVIEMBRE CON MERCURIO,2016,8,30,Martes,0,1
20 DE NOVIEMBRE CON MERCURIO,2017,3,3,Viernes,20,1
20 DE NOVIEMBRE CON MERCURIO,2017,12,9,Sábado,19,1
20 DE NOVIEMBRE CON MERCURIO,2018,4,11,Miércoles,7,1
20 DE NOVIEMBRE CON MERCURIO,2018,4,30,Lunes,15,1
20 DE NOVIEMBRE CON MERCURIO,2018,8,10,Viernes,11,1
20 DE NOVIEMBRE CON MERCURIO,2018,12,4,Martes,18,1
20 DE NOVIEMBRE CON MERCURIO,2020,1,19,Domingo,9,1
20 DE NOVIEMBRE CON MERCURIO,2020,8,9,Domingo,2,1
