dia,mes,año,hora,dia_semana,interseccion,tipo_accidente,causa_accidente,lesionados,fallecidos,num_resp,num_afect
1,1,2017,9,Domingo,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,No respeto alto,0,0,1,1
28,1,2017,9,Sábado,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
10,7,2017,9,Lunes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
19,4,2018,13,Jueves,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,No respeto alto,0,0,1,1
14,10,2019,13,Lunes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,3
6,6,2017,14,Martes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
26,2,2016,15,Viernes,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,No respeto alto,0,0,1,1
11,4,2019,16,Jueves,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
1,10,2019,16,Martes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
16,5,2017,17,Martes,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,No respeto semáforo,0,0,1,1
11,12,2015,18,Viernes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
16,4,2015,18,Jueves,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
22,10,2019,18,Martes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
22,4,2015,19,Miércoles,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
24,3,2017,20,Viernes,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,2
25,9,2019,21,Miércoles,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
14,11,2018,21,Miércoles,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,Otros,0,0,1,1
7,3,2020,13,Sábado,Alfonso Reyes con A. Lopez Mateos,Atropello,Otros,0,0,1,0
12,2,2020,17,Miércoles,Alfonso Reyes con A. Lopez Mateos,Alcance,No guardo distancia,0,0,1,1
20,4,2016,12,Miércoles,Alfonso Reyes con A. Lopez Mateos,Choque de Crucero,No respeto alto,0,0,1,1
27,5,2016,15,Viernes,Alfonso Reyes con A. Siller,Alcance,No guardo distancia,0,0,1,1
9,9,2018,0,Domingo,Alfonso Reyes con Alfonso Reyes,Choque Diverso,Otros,0,0,0,1
7,3,2015,0,Sábado,Alfonso Reyes con Alfonso Reyes,Choque Diverso,Otros,0,0,0,1
21,8,2016,0,Domingo,Alfonso Reyes con Alfonso Reyes,Choque Diverso,Otros,0,0,0,1
12,8,2017,3,Sábado,Alfonso Reyes con Alfonso Reyes,Choque Diverso,Distracción,0,0,0,1
